호선,출발역,도착역,거리(km),시간(분)
1,도봉산,도봉,0.9,1.5
1,도봉,방학,0.8,1.5
1,방학,창동,1.0,1.5
1,창동,녹천,1.1,2
1,녹천,월계,1.4,2
1,월계,광운대,1.1,2
1,광운대,석계,1.3,2
1,석계,신이문,1.1,1.5
1,신이문,외대앞,0.8,1.5
1,외대앞,회기,0.9,1.5
1,회기,청량리,1.1,2
1,청량리,제기동,1.0,1.5
1,제기동,신설동,0.9,1.5
1,신설동,동묘앞,0.7,1.5
1,동묘앞,동대문,0.6,1.5
1,동대문,종로5가,0.8,1.5
1,종로5가,종로3가,0.9,1.5
1,종로3가,종각,0.8,1.5
1,종각,시청,1.0,2
1,시청,서울역,1.1,2
1,서울역,남영,1.1,2
1,남영,용산,1.3,2
1,용산,노량진,1.9,3
1,노량진,대방,1.2,2
1,대방,신길,0.9,1.5
1,신길,영등포,1.2,2
1,영등포,신도림,1.6,2.5
1,신도림,구로,1.8,3
1,구로,가산디지털단지,1.5,2.5
1,가산디지털단지,독산,1.6,2.5
1,독산,금천구청,1.6,2.5
1,금천구청,석수,2.0,3.5
1,석수,관악,2.1,3.5
2,시청,을지로입구,0.7,1.5
2,을지로입구,을지로3가,0.8,1.0
2,을지로3가,을지로4가,0.6,1.0
2,을지로4가,동대문역사문화공원,1.0,1.5
2,동대문역사문화공원,신당,0.9,1.5
2,신당,상왕십리,0.9,1.0
2,상왕십리,왕십리,0.8,1.0
2,왕십리,한양대,1.0,1.5
2,한양대,뚝섬,1.1,1.5
2,뚝섬,성수,0.8,1.0
2,성수,건대입구,1.2,1.5
2,건대입구,구의,1.6,2.0
2,구의,강변,0.9,1.0
2,강변,잠실나루,1.8,2.0
2,잠실나루,잠실,1.0,1.5
2,잠실,잠실새내,1.2,1.5
2,잠실새내,종합운동장,1.2,1.5
2,종합운동장,삼성,1.0,1.5
2,삼성,선릉,1.3,1.5
2,선릉,역삼,1.2,1.5
2,역삼,강남,0.8,1.0
2,강남,교대,1.2,1.5
2,교대,서초,0.7,1.0
2,서초,방배,1.7,2.0
2,방배,사당,1.6,2.5
2,사당,낙성대,1.7,2.0
2,낙성대,서울대입구,1.0,1.5
2,서울대입구,봉천,1.0,1.0
2,봉천,신림,1.1,1.5
2,신림,신대방,1.8,2.0
2,신대방,구로디지털단지,1.1,1.5
2,구로디지털단지,대림,1.1,1.5
2,대림,신도림,1.8,2.5
2,신도림,문래,1.2,2.0
2,문래,영등포구청,0.9,1.0
2,영등포구청,당산,1.1,1.5
2,당산,합정,2.0,2.5
2,합정,홍대입구,1.1,1.5
2,홍대입구,신촌,1.3,2.0
2,신촌,이대,0.8,1.0
2,이대,아현,0.9,1.0
2,아현,충정로,0.8,1.5
2,충정로,시청,1.1,1.5
2,성수,용답,2.3,3.0
2,용답,신답,1.0,1.5
2,신답,용두,0.9,1.5
2,용두,신설동,1.2,1.5
2,신도림,도림천,1.0,1.5
2,도림천,양천구청,1.7,2.5
2,양천구청,신정네거리,1.9,3.0
2,신정네거리,까치산,1.4,2.5
3,대화,주협,1.2,2
3,주엽,정발산,1,2
3,정발산,마두,1.1,2
3,마두,백석,1,2
3,백석,대곡,1.9,3
3.대곡,화정,1.5,2
3,화정,원당,1.9,3
3,원당,원흥1.6,2.5
3,원흥,삼송,1.5,2.5
3,삼송,지축1.3,2
3,지축,구파발,1.1,2
3,구파발,연신내,2.0,2.0
3,연신내,불광,1.3,1.5
3,불광,녹번,1.1,1.5
3,녹번,홍제,1.6,2.0
3,홍제,무악재,0.9,1.5
3,무악재,독립문,1.1,1.5
3,독립문,경복궁,1.6,2.0
3,경복궁,안국,1.1,1.5
3,안국,종로3가,1.0,1.5
3,종로3가,을지로3가,0.6,1.0
3,을지로3가,충무로,0.7,1.0
3,충무로,동대입구,0.9,1.5
3,동대입구,약수,0.7,1.0
3,약수,금호,0.8,1.0
3,금호,옥수,0.8,1.0
3,옥수,압구정,2.1,2.0
3,압구정,신사,1.5,2.0
3,신사,잠원,0.9,1.5
3,잠원,고속터미널,1.2,1.5
3,고속터미널,교대,1.6,2.0
3,교대,남부터미널,0.9,1.5
3,남부터미널,양재,1.8,2.0
3,양재,매봉,1.2,2.0
3,매봉,도곡,0.8,1.5
3,도곡,대치,0.8,1.0
3,대치,학여울,0.8,1.0
3,학여울,대청,0.9,1.5
3,대청,일원,1.2,1.5
3,일원,수서,1.8,2.0
3,수서,가락시장,1.4,2.0
3,가락시장,경찰병원,0.8,1.0
3,경찰병원,오금,0.8,1.0
4,불암산,상계,1.2,1.5
4,상계,노원,1.0,1.5
4,노원,창동,1.4,2.0
4,창동,쌍문,1.3,1.5
4,쌍문,수유,1.5,2.0
4,수유,미아,1.4,1.5
4,미아,미아사거리,1.5,2.0
4,미아사거리,길음,1.3,1.5
4,길음,성신여대입구,1.4,2.0
4,성신여대입구,한성대입구,1.0,1.5
4,한성대입구,혜화,0.9,1.5
4,혜화,동대문,1.5,2.0
4,동대문,동대문역사문화공원,0.7,1.0
4,동대문역사문화공원,충무로,1.3,2.0
4,충무로,명동,0.7,1.0
4,명동,회현,0.7,1.0
4,회현,서울역,0.9,1.5
4,서울역,숙대입구,1.0,1.5
4,숙대입구,삼각지,1.2,1.5
4,삼각지,신용산,0.7,1.0
4,신용산,이촌,1.3,1.5
4,이촌,동작,2.7,3.0
4,동작,총신대입구,1.8,2.5
4,총신대입구,사당,1.1,1.5
4,사당,남태령,2.2,1.5
